split,run_name,scenario,n_samples,p_meas_mean_mW,p_pred_mean_mW,p_rel_err_pct,rmse_soc_pct,qc_keep,battery_level0_pct,thermal_cpu0_C,thermal_batt0_C,perfetto_current_mean_uA,perfetto_voltage_mean_V,thermal_cpu_mean_C,thermal_batt_mean_C,resid_mW,p_add_W,p_pred_mean_mW_corr_phys,resid_corr_mW
LOSO:S1-HS-1,20260131_230812_S1-HS-1,S1-HS-1,319,1217.780708736924,1887.9984815586852,55.03599851872411,0.92452327451081,1,98.0,42.083,35.1,269663.9566395664,4.369228893058162,42.17050470219436,35.080250783699064,-670.2177728217612,0.058313549188009794,1946.312030746695,-728.531322009771
LOSO:S1-HS-2,20260201_174510_S1-HS-2,S1-HS-2,339,1103.2962390833045,1544.6176315065727,40.00026255776498,0.6531415051766912,1,62.0,40.175,33.1,268757.7652699604,4.024820929747759,37.276345132743366,30.8858407079646,-441.3213924232682,0.06663683459160799,1611.2544660981807,-507.95822701487623
LOSO:S2_b005,20260202_010635_S2_b005,S2_b005,150,1925.21624,1820.0589807983729,-5.462101192416031,0.4125260289578951,1,95.0,49.404,34.5,455281.8139750116,4.335531235539103,42.90364666666667,34.56799999999999,105.15725920162708,0.13527751798533424,1955.3364987837072,-30.120258783707186
LOSO:S2_b010,20260202_011551_S2_b010,S2_b010,147,1925.7268299319728,1798.4136945696775,-6.611173162436152,0.2910475105497221,1,94.0,42.372,34.7,451655.2521980564,4.321703378065711,42.54943537414966,34.744897959183675,127.31313536229527,0.12940546852035004,1927.8191630900276,-2.092333158054771
LOSO:S2_b060,20260202_012509_S2_b060,S2_b060,147,1652.4545646258505,1836.722682087318,11.151176038730588,0.5793714892582859,1,92.0,41.86,34.7,393014.3452105506,4.311219805645535,41.915503401360546,34.454421768707476,-184.26811746146745,0.10672240518891944,1943.4450872762375,-290.990522650387
LOSO:S2_b150,20260201_185149_S2_b150,S2_b150,151,1673.8015393122892,1707.708085737961,2.0257208294600435,0.3716384630213711,1,54.0,37.916,28.6,440197.5937066173,3.889747801943544,36.594715231788086,28.366887417218553,-33.90654642567188,0.18775339072624603,1895.461476464207,-221.6599371519178
LOSO:S2_b210,20260201_190712_S2_b210,S2_b210,151,1883.196119750428,1705.842782725421,-9.417677488020242,0.3489298526757494,1,51.0,41.254,28.7,495593.7066173068,3.866093937991671,36.954947019867554,28.897350993377483,177.3533370250068,0.18354938153701977,1889.392164262441,-6.196044512013032
LOSO:S2_b255,20260202_013427_S2_b255,S2_b255,147,1938.2774421768704,1970.914772911872,1.6838317376456955,0.3530943235717424,1,91.0,47.072,34.2,467728.3664969921,4.292753354928274,42.14634013605442,34.34761904761905,-32.63733073500157,0.1772623543770576,2148.1771272889296,-209.89968511205916
LOSO:S2_b30_1,20260202_014345_S2_b30_1,S2_b30_1,148,1894.3651689189187,1800.4479022090366,-4.957717141910875,0.4750115076996334,1,90.0,45.777,34.4,459067.5613142064,4.277884775566867,42.50230405405406,34.4054054054054,93.91726670988214,0.14765431938314172,1948.1022215921782,-53.73705267325954
LOSO:S2_b30_1,20260202_015305_S2_b30_1,S2_b30_1,158,1735.795898734178,1789.0734722936368,3.0693455145453084,0.3331576267043727,1,88.0,42.445,34.4,421146.2285978714,4.265329477093938,42.04305063291139,34.45063291139241,-53.27757355945869,0.1252622607175205,1914.3357330111573,-178.53983427697926
LOSO:S2_b90,20260201_183735_S2_b90,S2_b90,151,1603.388382419604,1683.023709409116,4.966689784126892,0.3676908788066293,1,56.0,36.029,28.9,413681.16612679313,3.913407218880149,37.052026490066226,28.83509933774834,-79.6353269895119,0.15103289238499068,1834.0566017941067,-230.66821937450254
LOSO:S3_load_t1,20260202_214935_S3_load_t1,S3_load_t1,149,1980.9037444119183,1828.8067839634664,-7.678160076051851,0.3997787778772102,1,77.0,42.463,33.8,464359.5557612217,4.139426191577972,43.4298389261745,33.70402684563758,152.0969604484519,0.16726338077362535,1996.0701647370918,-15.166420325173476
LOSO:S3_load_t2,20260202_215851_S3_load_t2,S3_load_t2,143,2276.1716968400638,1924.7200335911427,-15.440472427314235,0.3812747312396865,1,75.0,43.149,33.6,531554.3729754743,4.117780194354466,45.46258041958041,33.81818181818182,351.451663248921,0.1734151578924046,2098.1351914835473,178.0365053565165
LOSO:S3_load_t4,20260202_220816_S3_load_t4,S3_load_t4,152,2475.564933818211,2322.725564598734,-6.173918814714506,0.5480779056492406,1,74.0,49.719,34.0,622326.7006015733,4.092366496992134,50.031855263157894,34.608552631578945,152.83936921947725,0.3829624188067296,2705.6879834054635,-230.12304958725235
LOSO:S3_load_t6,20260202_221733_S3_load_t6,S3_load_t6,154,3031.8670064935063,2631.1029454295467,-13.218391842571672,0.6132023255373331,1,72.0,50.803,34.9,737308.6534012031,4.063363257751041,54.65645454545455,35.679220779220785,400.7640610639596,0.5198096187865773,3150.912564216124,-119.04555772261756
LOSO:S3_load_t8,20260202_222646_S3_load_t8,S3_load_t8,154,3553.9323498749723,2836.1941924975367,-20.19560550731039,0.2877935131383092,1,69.0,57.426,36.3,881304.0259139288,4.029590467376215,59.92472077922078,37.296753246753255,717.7381573774355,0.7272552591101001,3563.449451607637,-9.517101732664742
LOSO:S4,20260202_002928_S4,S4,152,2260.4441568109137,2216.7885837092317,-1.931282972425769,0.4702732118697336,1,100.0,49.132,35.1,503161.4993058769,4.384720962517353,48.67771052631579,35.47105263157895,43.655573101681966,0.20604341356957645,2422.831997278808,-162.38784046789442
LOSO:S4,20260202_003841_S4,S4,152,1769.5886184210524,1731.9154320783005,-2.1289234091235576,0.366041169162433,1,99.0,46.745,35.7,389043.9611291069,4.377992133271634,42.90255921052632,35.267763157894734,37.67318634275193,0.1154501756850316,1847.365607763332,-77.77698934227965
LOSO:S4-1,20260202_004753_S4-1,S4-1,152,1788.08894574416,1781.700065599406,-0.3573021442786974,0.2683662523558918,1,98.0,42.568,34.9,396298.010180472,4.365161036557149,42.47158552631579,34.70723684210526,6.388880144754012,0.10474532533721263,1886.4453909366184,-98.35644519245852
LOSO:S4-1,20260202_005707_S4-1,S4-1,152,1751.253697368421,1774.26868711332,1.3142007796747637,0.4008953029321482,1,97.0,41.396,34.6,395049.51411383617,4.352839426191578,42.21486184210526,34.46315789473684,-23.01498974489914,0.10438134564794821,1878.6500327612682,-127.39633539284728
