split,run_name,scenario,n_samples,p_meas_mean_mW,p_pred_mean_mW,p_rel_err_pct,rmse_soc_pct,qc_keep,battery_level0_pct,battery_voltage0_mV,thermal_cpu0_C,thermal_batt0_C,resid_mW,voltage_V,resid_hat_mW,resid_corr_mW,p_pred_mean_mW_corr,resid_corr_check_mW
LOSO:S1-HS-1,20260131_230812_S1-HS-1,S1-HS-1,319,1217.780708736924,1887.9984815586852,55.03599851872411,0.92452327451081,1,98.0,4376.0,42.083,35.1,-670.2177728217612,4.376,-94.22837397181662,-575.9893988499446,1793.7701075868686,-575.9893988499446
LOSO:S1-HS-2,20260201_174510_S1-HS-2,S1-HS-2,339,1103.2962390833045,1544.6176315065727,40.00026255776498,0.6531415051766912,1,62.0,4011.0,40.175,33.1,-441.3213924232682,4.011,195.32154190589685,-636.6429343291651,1739.9391734124695,-636.642934329165
LOSO:S2_b005,20260202_010635_S2_b005,S2_b005,150,1925.21624,1820.0589807983729,-5.462101192416031,0.4125260289578951,1,95.0,4348.0,49.404,34.5,105.15725920162708,4.348,199.45742015925137,-94.30016095762429,2019.5164009576242,-94.30016095762426
LOSO:S2_b010,20260202_011551_S2_b010,S2_b010,147,1925.7268299319728,1798.4136945696775,-6.611173162436152,0.2910475105497221,1,94.0,4333.0,42.372,34.7,127.31313536229527,4.333,-166.2093282833772,293.5224636456725,1632.2043662863002,293.5224636456726
LOSO:S2_b060,20260202_012509_S2_b060,S2_b060,147,1652.4545646258505,1836.722682087318,11.151176038730588,0.5793714892582859,1,92.0,4314.0,41.86,34.7,-184.26811746146745,4.314,-145.64414060473848,-38.62397685672897,1691.0785414825796,-38.62397685672909
LOSO:S2_b150,20260201_185149_S2_b150,S2_b150,151,1673.8015393122892,1707.708085737961,2.0257208294600435,0.3716384630213711,1,54.0,3898.0,37.916,28.6,-33.90654642567188,3.898,7.350151157146785,-41.25669758281866,1715.0582368951077,-41.25669758281856
LOSO:S2_b210,20260201_190712_S2_b210,S2_b210,151,1883.196119750428,1705.842782725421,-9.417677488020242,0.3489298526757494,1,51.0,3880.0,41.254,28.7,177.3533370250068,3.88,122.30956969320563,55.04376733180116,1828.1523524186268,55.043767331801064
LOSO:S2_b255,20260202_013427_S2_b255,S2_b255,147,1938.2774421768704,1970.914772911872,1.6838317376456955,0.3530943235717424,1,91.0,4310.0,47.072,34.2,-32.63733073500157,4.31,112.77296835359691,-145.4102990885985,2083.687741265469,-145.41029908859855
LOSO:S2_b30_1,20260202_014345_S2_b30_1,S2_b30_1,148,1894.3651689189187,1800.4479022090366,-4.957717141910875,0.4750115076996334,1,90.0,4282.0,45.777,34.4,93.91726670988214,4.282,45.09575994648625,48.821506763395895,1845.5436621555227,48.82150676339597
LOSO:S2_b30_1,20260202_015305_S2_b30_1,S2_b30_1,158,1735.795898734178,1789.0734722936368,3.0693455145453084,0.3331576267043727,1,88.0,4245.0,42.445,34.4,-53.27757355945869,4.245,-81.60783926133732,28.33026570187863,1707.4656330322994,28.330265701878716
LOSO:S2_b90,20260201_183735_S2_b90,S2_b90,151,1603.388382419604,1683.023709409116,4.966689784126892,0.3676908788066293,1,56.0,3926.0,36.029,28.9,-79.6353269895119,3.926,-125.73856133021714,46.10323434070524,1557.2851480788988,46.103234340705285
LOSO:S3_load_t1,20260202_214935_S3_load_t1,S3_load_t1,149,1980.9037444119183,1828.8067839634664,-7.678160076051851,0.3997787778772102,1,77.0,4158.0,42.463,33.8,152.0969604484519,4.158,-59.348984589578755,211.44594503803066,1769.4577993738876,211.4459450380307
LOSO:S3_load_t2,20260202_215851_S3_load_t2,S3_load_t2,143,2276.1716968400638,1924.7200335911427,-15.440472427314235,0.3812747312396865,1,75.0,4136.0,43.149,33.6,351.451663248921,4.136,-26.72025650188677,378.1719197508078,1897.999777089256,378.1719197508078
LOSO:S3_load_t4,20260202_220816_S3_load_t4,S3_load_t4,152,2475.564933818211,2322.725564598734,-6.173918814714506,0.5480779056492406,1,74.0,4116.0,49.719,34.0,152.83936921947725,4.116,332.59558804908784,-179.7562188296106,2655.3211526478217,-179.7562188296106
LOSO:S3_load_t6,20260202_221733_S3_load_t6,S3_load_t6,154,3031.8670064935063,2631.1029454295467,-13.218391842571672,0.6132023255373331,1,72.0,4087.0,50.803,34.9,400.7640610639596,4.087,341.8145044279934,58.94955663596619,2972.9174498575403,58.94955663596602
LOSO:S3_load_t8,20260202_222646_S3_load_t8,S3_load_t8,154,3553.9323498749723,2836.1941924975367,-20.19560550731039,0.2877935131383092,1,69.0,4046.0,57.426,36.3,717.7381573774355,4.046,545.6957148385769,172.0424425388586,3381.8899073361135,172.04244253885872
LOSO:S4,20260202_002928_S4,S4,152,2260.4441568109137,2216.7885837092317,-1.931282972425769,0.4702732118697336,1,100.0,4389.0,49.132,35.1,43.655573101681966,4.389,165.358761940026,-121.70318883834403,2382.1473456492577,-121.70318883834398
LOSO:S4,20260202_003841_S4,S4,152,1769.5886184210524,1731.9154320783005,-2.1289234091235576,0.366041169162433,1,99.0,4377.0,46.745,35.7,37.67318634275193,4.377,38.818907822050235,-1.1457214792983024,1770.7343399003507,-1.145721479298345
LOSO:S4-1,20260202_004753_S4-1,S4-1,152,1788.08894574416,1781.700065599406,-0.3573021442786974,0.2683662523558918,1,98.0,4377.0,42.568,34.9,6.388880144754012,4.377,-205.95483213753775,212.34371228229176,1575.745233461868,212.3437122822918
LOSO:S4-1,20260202_005707_S4-1,S4-1,152,1751.253697368421,1774.26868711332,1.3142007796747637,0.4008953029321482,1,97.0,4360.0,41.396,34.6,-23.01498974489914,4.36,-244.71782076114116,221.70283101624202,1529.550866352179,221.70283101624204
